data,parity_bit,validity
00111010,0,Valid
10011010,0,Valid
00100000,1,Valid
00100100,1,Corrupt
01111010,0,Corrupt
00101000,0,Valid
01000100,1,Corrupt
10101101,1,Valid
01001110,0,Valid
01101011,1,Valid
00010001,1,Corrupt
11101000,0,Valid
11110011,0,Valid
01100101,1,Corrupt
11011010,0,Corrupt
00000101,1,Corrupt
00110001,0,Corrupt
01001010,1,Valid
11001010,0,Valid
01111111,1,Valid
00110110,1,Corrupt
10100001,0,Corrupt
10000000,1,Valid
01001101,1,Corrupt
01001011,1,Corrupt
00100100,0,Valid
00111000,0,Corrupt
10011000,0,Corrupt
11111000,1,Valid
00011001,1,Valid
01001000,0,Valid
01001010,1,Valid
